DateTime,year,month_of_yr,day_of_yr,day_of_month,day_of_week,weekend,holiday,hour,season,energy
2007-03-09,2007,3,68,9,4,0,0,1,2,91946.0
2007-03-09,2007,3,68,9,4,0,0,2,2,94706.0
2007-03-09,2007,3,68,9,4,0,0,3,2,98632.0
2007-03-09,2007,3,68,9,4,0,0,4,2,103485.0
2007-03-09,2007,3,68,9,4,0,0,5,2,111482.0
2007-03-09,2007,3,68,9,4,0,0,6,2,126585.0
2007-03-09,2007,3,68,9,4,0,0,7,2,132545.0
2007-03-09,2007,3,68,9,4,0,0,8,2,125334.0
2007-03-09,2007,3,68,9,4,0,0,9,2,117785.0
2007-03-09,2007,3,68,9,4,0,0,10,2,103331.0
2007-03-09,2007,3,68,9,4,0,0,11,2,91769.0
2007-03-09,2007,3,68,9,4,0,0,12,2,81765.0
2007-03-09,2007,3,68,9,4,0,0,13,2,75209.0
2007-03-09,2007,3,68,9,4,0,0,14,2,70117.0
2007-03-09,2007,3,68,9,4,0,0,15,2,65393.0
2007-03-09,2007,3,68,9,4,0,0,16,2,63918.0
2007-03-09,2007,3,68,9,4,0,0,17,2,65785.0
2007-03-09,2007,3,68,9,4,0,0,18,2,72904.0
2007-03-09,2007,3,68,9,4,0,0,19,2,86135.0
2007-03-09,2007,3,68,9,4,0,0,20,2,79183.0
2007-03-09,2007,3,68,9,4,0,0,21,2,94994.0
2007-03-09,2007,3,68,9,4,0,0,22,2,93684.0
2007-03-09,2007,3,68,9,4,0,0,23,2,89277.0
2007-03-09,2007,3,68,9,4,0,0,24,2,85651.0
2007-03-10,2007,3,69,10,5,1,0,1,2,81819.0
2007-03-10,2007,3,69,10,5,1,0,2,2,80503.0
2007-03-10,2007,3,69,10,5,1,0,3,2,80915.0
2007-03-10,2007,3,69,10,5,1,0,4,2,82691.0
2007-03-10,2007,3,69,10,5,1,0,5,2,85408.0
2007-03-10,2007,3,69,10,5,1,0,6,2,91148.0
2007-03-10,2007,3,69,10,5,1,0,7,2,99883.0
2007-03-10,2007,3,69,10,5,1,0,8,2,106635.0
2007-03-10,2007,3,69,10,5,1,0,9,2,102710.0
2007-03-10,2007,3,69,10,5,1,0,10,2,93231.0
2007-03-10,2007,3,69,10,5,1,0,11,2,81960.0
2007-03-10,2007,3,69,10,5,1,0,12,2,73960.0
2007-03-10,2007,3,69,10,5,1,0,13,2,68860.0
2007-03-10,2007,3,69,10,5,1,0,14,2,64047.0
2007-03-10,2007,3,69,10,5,1,0,15,2,60464.0
2007-03-10,2007,3,69,10,5,1,0,16,2,60450.0
2007-03-10,2007,3,69,10,5,1,0,17,2,62185.0
2007-03-10,2007,3,69,10,5,1,0,18,2,65374.0
2007-03-10,2007,3,69,10,5,1,0,19,2,74148.0
2007-03-10,2007,3,69,10,5,1,0,20,2,77889.0
2007-03-10,2007,3,69,10,5,1,0,21,2,74294.0
2007-03-10,2007,3,69,10,5,1,0,22,2,69035.0
2007-03-10,2007,3,69,10,5,1,0,23,2,63997.0
2007-03-10,2007,3,69,10,5,1,0,24,2,57729.0
2007-03-11,2007,3,70,11,6,1,0,1,2,52933.0
2007-03-11,2007,3,70,11,6,1,0,2,2,50012.0
2007-03-11,2007,3,70,11,6,1,0,3,2,49814.0
2007-03-11,2007,3,70,11,6,1,0,4,2,49615.0
2007-03-11,2007,3,70,11,6,1,0,5,2,50867.0
2007-03-11,2007,3,70,11,6,1,0,6,2,53467.0
2007-03-11,2007,3,70,11,6,1,0,7,2,57918.0
2007-03-11,2007,3,70,11,6,1,0,8,2,66148.0
2007-03-11,2007,3,70,11,6,1,0,9,2,79093.0
2007-03-11,2007,3,70,11,6,1,0,10,2,83240.0
2007-03-11,2007,3,70,11,6,1,0,11,2,77929.0
2007-03-11,2007,3,70,11,6,1,0,12,2,72092.0
2007-03-11,2007,3,70,11,6,1,0,13,2,69324.0
2007-03-11,2007,3,70,11,6,1,0,14,2,65865.0
2007-03-11,2007,3,70,11,6,1,0,15,2,62454.0
2007-03-11,2007,3,70,11,6,1,0,16,2,60289.0
2007-03-11,2007,3,70,11,6,1,0,17,2,60886.0
2007-03-11,2007,3,70,11,6,1,0,18,2,62426.0
2007-03-11,2007,3,70,11,6,1,0,19,2,66046.0
2007-03-11,2007,3,70,11,6,1,0,20,2,76654.0
2007-03-11,2007,3,70,11,6,1,0,21,2,84738.0
2007-03-11,2007,3,70,11,6,1,0,22,2,80277.0
2007-03-11,2007,3,70,11,6,1,0,23,2,71506.0
2007-03-11,2007,3,70,11,6,1,0,24,2,62555.0
2007-03-12,2007,3,71,12,0,0,0,1,2,58117.0
2007-03-12,2007,3,71,12,0,0,0,2,2,58570.0
2007-03-12,2007,3,71,12,0,0,0,3,2,60654.0
2007-03-12,2007,3,71,12,0,0,0,4,2,65145.0
2007-03-12,2007,3,71,12,0,0,0,5,2,72567.0
2007-03-12,2007,3,71,12,0,0,0,6,2,89020.0
2007-03-12,2007,3,71,12,0,0,0,7,2,96356.0
2007-03-12,2007,3,71,12,0,0,0,8,2,101842.0
2007-03-12,2007,3,71,12,0,0,0,9,2,106063.0
2007-03-12,2007,3,71,12,0,0,0,10,2,91825.0
2007-03-12,2007,3,71,12,0,0,0,11,2,79163.0
2007-03-12,2007,3,71,12,0,0,0,12,2,70731.0
2007-03-12,2007,3,71,12,0,0,0,13,2,65631.0
2007-03-12,2007,3,71,12,0,0,0,14,2,62263.0
2007-03-12,2007,3,71,12,0,0,0,15,2,59252.0
2007-03-12,2007,3,71,12,0,0,0,16,2,58859.0
2007-03-12,2007,3,71,12,0,0,0,17,2,61085.0
2007-03-12,2007,3,71,12,0,0,0,18,2,65309.0
2007-03-12,2007,3,71,12,0,0,0,19,2,72117.0
2007-03-12,2007,3,71,12,0,0,0,20,2,69729.0
2007-03-12,2007,3,71,12,0,0,0,21,2,76388.0
2007-03-12,2007,3,71,12,0,0,0,22,2,84924.0
2007-03-12,2007,3,71,12,0,0,0,23,2,74761.0
2007-03-12,2007,3,71,12,0,0,0,24,2,65643.0
2007-03-13,2007,3,72,13,1,0,0,1,2,60851.0
