DateTime,year,month_of_yr,day_of_yr,day_of_month,day_of_week,weekend,holiday,hour,season,energy
2007-03-09,2007,3,68,9,4,0,0,1,2,216540.0
2007-03-09,2007,3,68,9,4,0,0,2,2,217565.0
2007-03-09,2007,3,68,9,4,0,0,3,2,220467.0
2007-03-09,2007,3,68,9,4,0,0,4,2,222781.0
2007-03-09,2007,3,68,9,4,0,0,5,2,232742.0
2007-03-09,2007,3,68,9,4,0,0,6,2,249021.0
2007-03-09,2007,3,68,9,4,0,0,7,2,271826.0
2007-03-09,2007,3,68,9,4,0,0,8,2,276396.0
2007-03-09,2007,3,68,9,4,0,0,9,2,258843.0
2007-03-09,2007,3,68,9,4,0,0,10,2,243964.0
2007-03-09,2007,3,68,9,4,0,0,11,2,234135.0
2007-03-09,2007,3,68,9,4,0,0,12,2,224985.0
2007-03-09,2007,3,68,9,4,0,0,13,2,215861.0
2007-03-09,2007,3,68,9,4,0,0,14,2,207898.0
2007-03-09,2007,3,68,9,4,0,0,15,2,202346.0
2007-03-09,2007,3,68,9,4,0,0,16,2,196383.0
2007-03-09,2007,3,68,9,4,0,0,17,2,197521.0
2007-03-09,2007,3,68,9,4,0,0,18,2,202877.0
2007-03-09,2007,3,68,9,4,0,0,19,2,218264.0
2007-03-09,2007,3,68,9,4,0,0,20,2,224699.0
2007-03-09,2007,3,68,9,4,0,0,21,2,222379.0
2007-03-09,2007,3,68,9,4,0,0,22,2,215987.0
2007-03-09,2007,3,68,9,4,0,0,23,2,207241.0
2007-03-09,2007,3,68,9,4,0,0,24,2,195279.0
2007-03-10,2007,3,69,10,5,1,0,1,2,190950.0
2007-03-10,2007,3,69,10,5,1,0,2,2,186568.0
2007-03-10,2007,3,69,10,5,1,0,3,2,185796.0
2007-03-10,2007,3,69,10,5,1,0,4,2,188394.0
2007-03-10,2007,3,69,10,5,1,0,5,2,190922.0
2007-03-10,2007,3,69,10,5,1,0,6,2,197227.0
2007-03-10,2007,3,69,10,5,1,0,7,2,207321.0
2007-03-10,2007,3,69,10,5,1,0,8,2,214679.0
2007-03-10,2007,3,69,10,5,1,0,9,2,218872.0
2007-03-10,2007,3,69,10,5,1,0,10,2,216357.0
2007-03-10,2007,3,69,10,5,1,0,11,2,205220.0
2007-03-10,2007,3,69,10,5,1,0,12,2,192256.0
2007-03-10,2007,3,69,10,5,1,0,13,2,181711.0
2007-03-10,2007,3,69,10,5,1,0,14,2,172137.0
2007-03-10,2007,3,69,10,5,1,0,15,2,164708.0
2007-03-10,2007,3,69,10,5,1,0,16,2,164161.0
2007-03-10,2007,3,69,10,5,1,0,17,2,167304.0
2007-03-10,2007,3,69,10,5,1,0,18,2,174605.0
2007-03-10,2007,3,69,10,5,1,0,19,2,183265.0
2007-03-10,2007,3,69,10,5,1,0,20,2,180213.0
2007-03-10,2007,3,69,10,5,1,0,21,2,175184.0
2007-03-10,2007,3,69,10,5,1,0,22,2,168053.0
2007-03-10,2007,3,69,10,5,1,0,23,2,160160.0
2007-03-10,2007,3,69,10,5,1,0,24,2,150477.0
2007-03-11,2007,3,70,11,6,1,0,1,2,141978.0
2007-03-11,2007,3,70,11,6,1,0,2,2,140579.0
2007-03-11,2007,3,70,11,6,1,0,3,2,139975.0
2007-03-11,2007,3,70,11,6,1,0,4,2,139371.0
2007-03-11,2007,3,70,11,6,1,0,5,2,143166.0
2007-03-11,2007,3,70,11,6,1,0,6,2,148396.0
2007-03-11,2007,3,70,11,6,1,0,7,2,156661.0
2007-03-11,2007,3,70,11,6,1,0,8,2,170659.0
2007-03-11,2007,3,70,11,6,1,0,9,2,180408.0
2007-03-11,2007,3,70,11,6,1,0,10,2,185161.0
2007-03-11,2007,3,70,11,6,1,0,11,2,182880.0
2007-03-11,2007,3,70,11,6,1,0,12,2,180116.0
2007-03-11,2007,3,70,11,6,1,0,13,2,175248.0
2007-03-11,2007,3,70,11,6,1,0,14,2,170908.0
2007-03-11,2007,3,70,11,6,1,0,15,2,166801.0
2007-03-11,2007,3,70,11,6,1,0,16,2,159979.0
2007-03-11,2007,3,70,11,6,1,0,17,2,161786.0
2007-03-11,2007,3,70,11,6,1,0,18,2,163670.0
2007-03-11,2007,3,70,11,6,1,0,19,2,168274.0
2007-03-11,2007,3,70,11,6,1,0,20,2,187965.0
2007-03-11,2007,3,70,11,6,1,0,21,2,195968.0
2007-03-11,2007,3,70,11,6,1,0,22,2,192205.0
2007-03-11,2007,3,70,11,6,1,0,23,2,182384.0
2007-03-11,2007,3,70,11,6,1,0,24,2,172215.0
2007-03-12,2007,3,71,12,0,0,0,1,2,165416.0
2007-03-12,2007,3,71,12,0,0,0,2,2,167484.0
2007-03-12,2007,3,71,12,0,0,0,3,2,169289.0
2007-03-12,2007,3,71,12,0,0,0,4,2,174381.0
2007-03-12,2007,3,71,12,0,0,0,5,2,186336.0
2007-03-12,2007,3,71,12,0,0,0,6,2,200026.0
2007-03-12,2007,3,71,12,0,0,0,7,2,232059.0
2007-03-12,2007,3,71,12,0,0,0,8,2,250149.0
