DateTime,year,month_of_yr,day_of_yr,day_of_month,day_of_week,weekend,holiday,hour,season,energy
2007-03-09,2007,3,68,9,4,0,0,1,2,26758.0
2007-03-09,2007,3,68,9,4,0,0,2,2,27290.0
2007-03-09,2007,3,68,9,4,0,0,3,2,27689.0
2007-03-09,2007,3,68,9,4,0,0,4,2,28353.0
2007-03-09,2007,3,68,9,4,0,0,5,2,30349.0
2007-03-09,2007,3,68,9,4,0,0,6,2,34211.0
2007-03-09,2007,3,68,9,4,0,0,7,2,33788.0
2007-03-09,2007,3,68,9,4,0,0,8,2,31850.0
2007-03-09,2007,3,68,9,4,0,0,9,2,30504.0
2007-03-09,2007,3,68,9,4,0,0,10,2,26360.0
2007-03-09,2007,3,68,9,4,0,0,11,2,23120.0
2007-03-09,2007,3,68,9,4,0,0,12,2,20990.0
2007-03-09,2007,3,68,9,4,0,0,13,2,19086.0
2007-03-09,2007,3,68,9,4,0,0,14,2,17385.0
2007-03-09,2007,3,68,9,4,0,0,15,2,16479.0
2007-03-09,2007,3,68,9,4,0,0,16,2,16516.0
2007-03-09,2007,3,68,9,4,0,0,17,2,17709.0
2007-03-09,2007,3,68,9,4,0,0,18,2,20316.0
2007-03-09,2007,3,68,9,4,0,0,19,2,24645.0
2007-03-09,2007,3,68,9,4,0,0,20,2,22291.0
2007-03-09,2007,3,68,9,4,0,0,21,2,26594.0
2007-03-09,2007,3,68,9,4,0,0,22,2,26235.0
2007-03-09,2007,3,68,9,4,0,0,23,2,25450.0
2007-03-09,2007,3,68,9,4,0,0,24,2,24376.0
2007-03-10,2007,3,69,10,5,1,0,1,2,23781.0
2007-03-10,2007,3,69,10,5,1,0,2,2,24102.0
2007-03-10,2007,3,69,10,5,1,0,3,2,24803.0
2007-03-10,2007,3,69,10,5,1,0,4,2,25414.0
2007-03-10,2007,3,69,10,5,1,0,5,2,26198.0
2007-03-10,2007,3,69,10,5,1,0,6,2,27500.0
2007-03-10,2007,3,69,10,5,1,0,7,2,29346.0
2007-03-10,2007,3,69,10,5,1,0,8,2,30908.0
2007-03-10,2007,3,69,10,5,1,0,9,2,29077.0
2007-03-10,2007,3,69,10,5,1,0,10,2,25501.0
2007-03-10,2007,3,69,10,5,1,0,11,2,22176.0
2007-03-10,2007,3,69,10,5,1,0,12,2,19314.0
2007-03-10,2007,3,69,10,5,1,0,13,2,17750.0
2007-03-10,2007,3,69,10,5,1,0,14,2,16566.0
2007-03-10,2007,3,69,10,5,1,0,15,2,15638.0
